"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"395","Lead Graphic Designer",44879.98,51944.83,59283.98,73510.85,NA
"396","Product Developer",50470.1,60449.19,68133.22,79507.73,80000
"397","Assistant Interior Designer",15.89,17.9,19.66,16.54,16.28
"398","Assistant Fashion Designer",42116.73,45057.7,46456.15,50000,NA
"399","Senior Industrial Designer",72932.61,80083.62,89753.16,97875.35,NA
"400","Media Supervisor",74533.8,75782.19,76453.03,73500,NA
"401","Freelance Graphic Designer",19.83,25.46,30.52,35.4,49.13
"402","Production Designer",43038.99,45290.65,54605.68,62510.09,63615.14
"403","Graphic Designer, Web",38000,44030.29,50835.07,56455.47,55000
"404","Lead Painter",18.32,19.64,20.37,20.46,NA
"405","User Experience Manager",87115.39,103914.42,122567.2,125434.45,NA
"406","UX Manager",96123.99,110854.82,121745.62,138303.33,NA
"407","Illustrator",16.42,19.77,22.3,27.5,36.03
"408","Design Director, Interior Design",72807.83,76906.56,98331.98,120600.26,NA
"409","Textile Designer",45000,56081.89,63867.68,71557.64,76484.36
"410","Florist",10.36,12.1,13.07,13.28,14.9
"411","Product Development Coordinator",45496.89,49522.97,52610.79,70000,65000
"412","Production Artist (Graphic Arts)",14.68,16.15,18.34,18.53,23.82
"413","Fine Artist, Including Painter, Sculptor, or Illustrator",15.08,19.11,20.75,21.3,30.34
"414","Junior Art Director",45487.82,49343.75,55920.67,53457.94,NA
"415","Product Design Manager",91343.08,118453.92,138260.54,93301.15,NA
"416","Designer, Kitchen & Bath",14.74,15.87,18.72,19.17,20.03
"417","Visual Merchandising Manager",53192.49,57306.69,72335.33,75648,63877.11
"418","Animator, 3D",40926.32,51663.69,65494.9,69476.5,78610.81
"419","Associate Art Director",46208.13,52576.38,66075.47,73132.55,72348.19
"420","UX Director",111500,123890.49,145611.97,156751.3,NA
"421","Production Manager, Theater",35053,45412.51,51046.26,58969.35,59938.9
"422","Design Intern",15.11,15.33,NA,NA,NA
"423","Merchandising Assistant",15.58,16.55,15.26,12.04,12.01
"424","Artistic Director",44962.07,51733.69,58234.82,58662.22,NA
"425","Senior Fashion Designer",67563.44,81156.1,96619.23,101736.48,NA
"426","Technical Artist",50658.43,62935.67,79091.05,104693.68,NA
"427","Tattoo Artist",35,51.39,100.51,103.23,100
"428","Exhibit Designer",43687.53,47522.01,51476.59,57000,70496.45
"429","Post Production Manager, Television, Video, or Motion Picture",62510.09,74190.17,82488.6,72944.08,NA
"430","Concept Artist",46083.83,51190.57,59446.71,81389.19,77500
"431","Photo Retoucher",14.83,19.5,20.41,28.67,29.67
"432","Fashion Stylist",14.92,16.38,18.5,22.24,37.5
"433","Package Designer",40761.38,52203.85,57949.53,62400,65000
"434","Retoucher",21.77,26.33,29.49,30.13,NA
"435","Interior Decorator",19.65,24.59,30,25.28,24.4
"436","Director of Interior Design",68012.11,81702.67,92907.03,NA,NA
"437","Structural Packaging Designer",49900.55,52853.25,65099.43,70290.58,73469.39
"438","Senior Merchandiser",74375.18,87041.08,103705.84,105000,NA
"439","Graphic Design Intern",14.37,14.16,16,NA,NA
"440","Tool Designer, Industrial",21.09,22.64,30.17,27.79,NA
"441","VFX Artist",61881.67,72413.79,95000,105000,NA
"442","Visual Manager",13.27,16.25,20.41,23.25,28
"443","Senior Animator",57250,68985.51,98421.25,107968.82,NA
"444","Principle User Experience Designer",102854.57,114912.05,131819.61,144753.03,NA
"445","Compositor",20.63,25.6,42,60.68,50.98
"446","Multi-Media Artist or Animator",50752.38,52850.41,56969.22,64631.99,71266.66
"447","Furniture Designer",39433.05,46704.29,61176.47,77511,77511
"448","Associate Fashion Designer",57925.56,61043.74,66500,NA,NA
"449","Assistant Merchandise Manager",14,12.82,16.08,14.74,NA
"450","Visual Merchandising Director",90500,85766.33,111306.83,121763.45,NA
"451","Graphic Artist / Animator",48795.75,46000,49910.04,75109.63,90000
"452","Store Planner",50050.46,53823.87,56674.15,60000,65000
"453","Project Manager, (Unspecified Type / General)",57836.82,65733.46,78539.65,88720.69,92163.57
"454","Service Delivery Manager",67181.48,68204.74,84471.9,98186.09,111460
"455","Property Manager",41622.14,46345.69,51612.85,55955.84,59642.93
"456","Buyer",50153.09,54240.6,59260.42,60375.58,61581.28
"457","Senior Business Analyst",71474.04,78494.86,86959.55,94029.4,97263.89
"458","Senior Product Manager",103158.81,119596.4,127175.45,131945.22,130697.29
"459","Management Consultant",71203.79,82525.04,103442.31,125391.98,128792.46
"460","Business Analyst (Unspecified Type)",57844.28,61205.02,67562.91,71746.87,71474.94
"461","Purchasing Manager",51028,60584.48,68168.81,74847.52,78604.36
"462","Construction Estimator",50185.6,56716.89,65818.55,69388.07,73783.11
"463","Assistant Manager",12.28,13.31,14.68,15.63,15.92
"464","Event Coordinator",39350.45,42131.27,46229.9,49277.96,48771.98
"465","Supply Chain Manager",63152.18,73723.5,85999.32,92264.16,95278.69
"466","Information Security Analyst",60705.43,68401.91,82948.19,97460.26,106201.74
"467","Facility Coordinator",16.23,17.69,21.6,23.58,24.9
"468","Logistics Manager",50244.84,58795.96,66898.16,72074.23,79035.79
"469","Event Manager",43643.23,50229.05,58018.44,63268.76,66980.46
"470","Senior Buyer",57928.09,64830.47,70722.02,73448.62,74863.35
"471","Assistant Property Manager",15.55,16.92,18.07,18.67,17.54
"472","Contracts Manager",62891.41,73059.1,82134.32,90715.19,99241.64
"473","Procurement Specialist",49863.6,56595.48,62332.11,65505.17,68690.39
"474","Business Process / Management Consultant",65573.72,75938.97,91032.4,103683.86,116473.85
"475","Business Consultant",64882.63,71990.88,82657.09,88246.4,98376.86
"476","Security Supervisor",14.3,15.32,15.91,16.72,17.77
"477","Security Analyst",60887.77,67706.1,77712.7,82724.86,95372.56
"478","Cyber Security Engineer",77245.76,83747.99,104541.75,118502,125062.65
"479","Claims Adjuster",45779.11,50880.68,56241.6,61705.42,66061.83
"480","Procurement Manager",59848.99,72484.47,82418.16,91645.92,94113.87
"481","Security Manager",54578.66,58438.9,67148.38,76417.12,80329.44
"482","Materials Manager",57532.7,65033.59,75720.02,83031.61,87616.59
"483","Implementation Consultant",61452.06,70747.67,80631.08,86888.7,88212.44
"484","Program Analyst",57981.28,64316.51,74584.97,83610.72,94717.62
"485","Social Media Coordinator",37902.93,41096.64,48335.22,50517.13,50980.39
"486","Senior Estimator",65624.6,81676.63,89286.73,91856.9,NA
"487","Claims Adjuster / Examiner / Investigator",46477.14,51254.49,56801.77,63995.94,70661.76
"488","Client Services Director",54044.94,71587.78,88396.03,100959.16,112947.27
"489","Information Security Manager",88081.99,94964.45,115812.67,122842.48,127708.06
"490","Government Program Manager",57785.72,67518.91,84698.88,101927.65,114865.84
"491","Director of Events",43941.33,51333.91,69351.51,80939.68,84461.72
"492","Learning and Development Specialist",51877.95,58660.05,65674.8,70571.26,75864.94
"493","Assistant Manager, Customer Service",12.58,13.53,15.01,15.32,16.11
"494","Design Manager",63269.2,71220.54,80465.19,92231.46,93701.4
"495","Insurance Claims Specialist",15.34,16.58,17.59,19.07,20.72
"496","Cost Estimator",49703.44,54189.1,60725.09,65383.21,63996.49
"497","Quality Assurance Coordinator",18.65,19.76,21.08,23.14,24.54
"498","Reporting Analyst",51767.17,57945.27,64663.78,72135.85,73740.17
"499","Senior Claims Adjuster",60932.42,66387.79,71207.39,74582.44,NA
"500","Grants Manager",45729.66,54300.66,62101.11,65674.82,66207.42
"501","Purchasing Agent (but not Wholesale, Retail, or Farm Products)",41868.4,47248.41,51330.98,58104.46,61058.84
"502","Call Center Manager",48360.45,51525.08,58025.44,64736.46,68558.4
"503","Business Operations Analyst",59574.14,64323.39,70349.1,73402.9,70328.18
"504","Purchaser",16.74,18.18,19.99,20.05,21.37
"505","Purchasing Coordinator",17.47,18.15,19.41,20.67,21.68
"506","Project Analyst",54169.37,60027.47,67227.54,67828.68,81836.61
"507","Business Process Analyst",57834.69,63483.25,71075.95,77777.66,90665.51
"508","Business Intelligence Manager",88782.65,103779.33,114276.52,122611.38,NA
"509","Regional Property Manager",60573.33,64993.97,72225.93,80729.47,84121.26
"510","Education Program Coordinator",40598.87,44663.23,48476.98,53836.97,58578.64
"511","Community Association Manager",44296.32,48949.37,55957.14,63482.8,63856.4
"512","Application Support Specialist",50421.63,54218.4,65924.22,69397.08,69466.31
"513","Regulatory Affairs Specialist",61256.58,68774.04,75989.11,76350.44,79886.53
"514","Information Security Officer",68711.76,76530.99,93140.29,107837.65,114596.17
"515","Technical Specialist",54867.4,59349.53,75908.38,82390.03,86665.12
"516","Purchasing Specialist",44796.15,49185.83,56428.91,56263.92,58975.47
"517","Facility Security Officer (FSO)",54778.51,63660.74,73714.63,81981.88,88427.48
"518","Event Planner",39667.47,47328.91,54480.91,57545.92,63675.85
"519","ERP Consultant",63677.95,76121.67,96394.78,106225.11,107376.81
"520","Manager Trainee",45571.69,45966.73,44206.93,49534.43,47498.82
"521","Strategy Manager",80000,91853.32,109435.65,120320,129632.5
"522","Insurance Claims Adjuster",46081.87,51313.36,57568.41,61534.42,77250.24
"523","Workforce Management Analyst",45504.52,52456.65,56820.91,63481.64,70399.2
"524","Consulting Manager",101844.28,109449.62,122131.79,136274.69,132686.98
"525","Regulatory Affairs Manager",80189.31,91489.75,109157.65,112335.24,119402.84
"526","Strategic Sourcing Manager",71623.34,82979.94,96231.05,99908.46,106465.95
"527","Policy Analyst",50528.27,58962.41,65652.46,75644.86,93500
"528","Strategy Consultant",71834.24,83986.2,101455.91,117966.23,131505.15
"529","Electrical Estimator",50565.15,59247.34,69614.08,75142.65,80719.58
"530","Management Analyst",55406.72,62567.47,73269.6,81346.87,81320.14
"531","Assistant Buyer",46107.17,48878.95,50630.03,50925.13,60000
"532","Commercial Property Manager",49880.37,58888.62,64682.68,73108.3,79865.66
"533","Security Director",43189.95,67050.96,77647.49,93286.29,96226.73
"534","Technical Analyst",60482.37,62033.48,69117.97,73914.37,82134.49
"535","Associate Project Manager (Unspecified Type / General)",55003.11,60243.69,66745.31,87859.53,85000
"536","Environmental Health & Safety (EHS) Director",86417.36,98932.52,117266.27,126407.45,NA
"537","Supply Chain Coordinator",45611.75,50362.96,53962.55,55744.02,53507.23
"538","Compliance Coordinator",45548.11,49535.66,55952.19,57621.24,61044.33
"539","Strategy Analyst",63774.59,70578.72,78963.63,80341.03,90276.24
"540","Procurement Director",66128.71,80957.19,116212.19,126960.34,131764.04
"541","Purchasing / Inventory Coordinator",15.6,17.18,17.85,20.36,20.39
"542","Cost Analyst",54310.63,60256.29,71235.19,75319.69,73469.47
"543","Real Estate Development Manager",61843.54,79389.19,98155,117391.97,119921.06
"544","Estimator, Construction",47803.64,54488.88,62212.73,63020.73,69424.41
"545","Lead Business Analyst",77601.03,94393.76,108525.37,107243,NA
"546","Inventory / Purchasing Manager",46595.14,49944.41,58963.38,62939.98,65993.32
"547","Property, Real Estate, or Community Association Manager",46834.9,51061.8,55486.71,62048.43,65292.37
"548","Business Development Coordinator",43816.55,49512.64,58236.26,55043.13,56844.79
"549","Senior Property Manager",67812.41,74169.7,82111.07,87182.28,NA
"550","Project Control Specialist",59393.28,65649.61,83799.46,99098.39,100758.27
"551","Manager, Change Management",60000,81199,98961.24,117150.89,117371.99
"552","Distribution Manager",55073.31,57977.54,67354.08,73071.89,81423.86
"553","Electrical Foreman",19.51,21.92,27.48,29.93,32.22
"554","Assistant Construction Superintendent",53825.85,60782.3,69423.98,71939.38,70270.26
"555","Carpenter Foreman",21.47,23.33,25.13,27.21,29.47
"556","Electrician",15.54,18.79,23.59,25.59,28.3
"557","Carpenter",15.81,18.49,20.82,24.04,25.37
"558","Project Manager, Construction",53327.31,63264.98,76405.52,84688.33,87830.13
"559","Construction Superintendent",52104.31,62861.79,74430.53,82242.26,86985.77
"560","Assistant Project Manager, Construction",53756.55,61346.91,71705.58,65114.24,64920.02
"561","Construction Foreman",18.77,20.35,23.74,25.94,28.21
"562","Painter",13.81,15.6,18.05,19.35,20.22
"563","Construction Project Manager",56556.44,67415.22,80907.09,89111.19,93315.05
"564","Construction Superintendent, Commercial",54610.82,63862.39,75645.66,82776.29,88262.25
"565","Plumber",15.55,18.7,23.09,25.24,27.19
"566","Construction Laborer",14.62,15.59,17.88,19.8,23.25
"567","Construction Manager",59095.07,64825.69,78624.75,88019.05,91778.86
"568","Painting Supervisor",18.15,20.24,20.89,24.39,NA
"569","Electrician Journeyman",20.67,23.05,25.46,27.28,28.94
"570","Senior Project Manager, Construction",84245.24,103200.69,116262.4,118418.93,NA
"571","Apprentice Electrician",14.44,15.85,18.88,20.54,22.74
"572","General Contractor",15.58,18.61,24.98,31.37,40.25
"573","Apprentice Plumber",14.65,15.68,17.66,18.18,17.47
"574","Roofer",15.01,16.39,19.1,20.18,22.55
"575","Construction Inspector",19.87,21.71,25.11,28.8,33.4
"576","Master Electrician",26.71,26.68,30.08,30.89,NA
"577","Lead Carpenter",21.36,23.91,24.85,25.79,NA
"578","Concrete Finisher",15.16,17.72,19.79,20.94,22.62
"579","Electrical Apprentice",14.11,15.74,18.46,20.3,19.55
"580","Journeyman Plumber",17.59,21.44,25.22,26.98,29.11
"581","Flooring Installer",13.7,15.42,18.78,20.99,24.63
"582","Construction Worker",14.82,15.51,17.37,19.97,22.74
"583","Project Superintendent",53945.12,66142.5,75391.94,83761.7,92697.37
"584","Finish Carpenter",15.05,18.34,21.05,25.36,27.06
"585","Glazier",15.26,17.3,20.93,22.73,25.92
"586","Master Plumber",25.2,26.58,28.94,30.25,NA
"587","Maintenance Electrician",20.76,23.59,24.69,26.06,27.01
"588","Journeyman Carpenter",22.82,26.16,29.65,29.87,31.19
"589","Pipefitter",17.19,21.04,28.22,29.55,32.52
"590","FOREMAN",20.32,22.45,25.8,27.57,NA
"591","Sheet Metal Worker",15.2,17.73,22.61,27.83,30.35
"592","Construction Superintendent, Residential",48148.41,53754.94,62302.79,68938.3,71624.48
"593","Construction Supervisor",49986.91,59154.97,68224.84,71753.89,75527.65
"594","Industrial Electrician",20.33,23.01,26.91,28.75,29.38
"595","Architectural Job Captain",59125.89,68514.73,71090.91,78020.21,NA
"596","Drywall Finisher",14.59,16.67,19.79,21.75,24.24
"597","Electrical Project Manager",60788.99,73610.74,82013.64,83142.76,89187.56
"598","Painter, Construction and Maintenance",13.35,14.7,15.55,17.82,19.6
"599","Fire Sprinkler Fitter",15.3,17.41,22.72,26.56,27.47
"600","Concrete Foreman",15.39,21.12,22.85,25.73,26.92
"601","Electrician Helper",13,14.54,16.98,18,17.3
"602","Low Voltage Electrician",14.94,17.85,21.35,24.45,28.12
"603","Master Carpenter",21.72,24.99,27.99,29.68,NA
"604","Sheet Metal Mechanic",15.65,18.17,22.01,24.88,25.81
"605","Construction Contractor",15.33,18.2,20.13,27.37,35.12
"606","Sprinkler Fitter",15.87,18.12,22.18,29.45,30.07
"607","Carpenter Apprentice",16.21,17.55,18.14,18.66,19
"608","General Superintendent",75621.67,94182.43,101276.15,111164.18,NA
"609","Director of Construction",87644.55,103483.91,122849.61,125669.09,NA
"610","Mason",17.8,18.64,22.57,24.68,25.53
"611","Elevator Mechanic",22.28,27.14,39.74,42.35,45.43
"612","Sign Installer",13.82,16.07,18.09,19.87,21.2
"613","Builder",13.71,14.94,17.46,19.57,23.56
"614","Construction Scheduler",54353.86,70586.93,86675.74,104729.74,115513.74
"615","Tile or Marble Setter",14.67,17.46,20.07,24.57,25.78
"616","Plumbing Foreman",20.78,28.29,29.76,31.13,NA
"617","Construction Coordinator",46005.24,51122.55,57242.8,61880.45,65836.89
"618","Carpenter Supervisor",20,24.83,26.18,28.11,NA
"619","Code Enforcement Officer",15.67,17.54,18.7,20.94,28.5
"620","Operating Engineer",23.24,30.42,32.94,34.09,35.08
"621","Building Inspector",43193.37,50837.75,54476.41,58925.57,59884.6
"622","Granite Installer",14.42,15.55,18.43,19.73,22.05
"623","Roofing Foreman",18.52,21.68,22.82,24.89,NA
"624","Window and Door Installer",14.43,16.43,19.54,22.48,24.16
"625","Insulation Installer",14.32,15.49,18.45,19.74,24.22
"626","Insulator",15.57,17.19,21.41,22.55,25.71
"627","House Painter",14,14.98,17.76,19.58,20.43
"628","Pipelayer",14.5,17.22,18.63,19.96,20.27
"629","HVAC Foreman",19.99,25.07,27.96,28.88,NA
"630","Asbestos Removal Worker",17.63,18.25,20.55,22.98,30
"631","Senior Construction Manager",82500,99780.73,111181.85,120085.81,NA
"632","Bricklayer",15.51,19.21,25.11,26.59,29.66
"633","Sign Maker",12.51,14.46,15.36,16.06,18.4
"634","Utilities Superintendent",75231.65,76968.34,77285.95,84212.43,NA
"635","Construction Administrator",48065.79,50763.34,55595.16,59547.82,71010.91
"636","Home Inspector",39987.87,46115.04,53561.1,55971.19,66000
"637","Plumbing Supervisor",17,26.75,28.83,30.9,NA
"638","Lead Plumber / Foreman",19.4,23.19,26.7,30.14,NA
"639","Plumber, Pipefitter, or Steamfitter",21.48,28.49,32.39,32.66,NA
"640","Boilermaker",23.75,26.79,30.01,34.39,34.89
"641","Commercial Electrician",19.15,23.19,27.19,25.59,NA
"642","Directional Driller",16.85,19.93,21.26,23.58,23.95
"643","Sheet Metal Worker Apprentice",15.08,16.42,18.3,17.66,NA
"644","Carpenter Helper",13.73,14.76,16.19,17.04,17
"645","Cement Mason or Concrete Finisher",15.48,17.91,21.49,21.59,24.77
"646","Cabinetmaker, Bench Carpenter",17.46,19.77,20.55,21.82,NA
"647","Water Superintendent",50401.58,58981.9,60272.81,70981.61,NA
"648","Window Installer",13.96,15.63,18.25,21.36,22.66
"649","Electrician - Certified",15.58,20.36,25.12,27.32,29.01
"650","Painter Helper",11.95,13.28,15.13,14.78,15.35
"651","Helper--Pipelayer, Plumber, Pipefitter, or Steamfitter",13.08,14.35,16.37,16.48,26
"652","Asphalt Paver Operator",14.88,16.44,19.49,20.51,21.38
"653","Elementary School Teacher",40168.15,41841.24,46094.65,52605.92,59650.66
"654","High School Teacher",41757.54,44969.61,49920.39,56294.84,63500
"655","Preschool Teacher, (but not Special Education)",12.08,12.87,13.63,14,14.4
"656","Teacher Assistant",11.39,11.76,12.42,12.88,13.23
"657","Daycare Teacher",10.15,10.88,11.91,12.06,12.21
"658","Middle School Teacher",40543.22,43918.82,49333.22,53696.68,59360.66
"659","Special Education Paraprofessional",12.89,13.42,14.39,15.33,16.23
"660","Assistant Professor, Postsecondary / Higher Education",70463.61,69909.66,69908.22,67853.54,68564.27
"661","Instructional Designer",53976.46,60856.45,67550.33,72617.58,75843.21
"662","Special Education Teacher, Preschool, Kindergarten, or Elementary School",41741.06,44533.07,49580.53,55181.05,60845.38
